,31355810138002,,312513943512,,926092219201,,0010ECT00194644,,0010ECT00125154,,0010ECT00125158,,80455347577603,,0010ECT00007573,,1015514237269,,0010ECT00145557,,0010ECT00089790,,21955321350701,,0010ECT00153198
,3.1,,4.3,,3.8,,4.1,,3.4,,4.3,,2.9,,3.4,,4.3,,2.3,,4,,3.7,,4.1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,0010ECT00123572,,0010ECT00123576,,0010ECT00123570,,0010ECT00123573,,0010ECT00123575,,0010ECT00123574,,0010ECT00123569,,0010ECT00123577,,0010ECT00123578,,0010ECT00123571,,,,,,
,4.3,,4.3,,4.3,,4.3,,4.3,,4.3,,4.3,,4.3,,4.3,,4.3,,,,,,
